試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
-22.239999771118164,2.0,52.0,46.0,2.6470000743865967,7305.67333984375,102.69999694824219
-33.599998474121094,4.0,49.0,47.0,2.690999984741211,4540.501953125,62.099998474121094
-51.45000076293945,1.0,37.0,62.0,2.7209999561309814,7618.31689453125,66.5
-41.849998474121094,1.0,30.0,69.0,2.7119998931884766,7559.294921875,84.0999984741211
-43.79999923706055,2.0,19.0,79.0,2.742000102996826,7596.37060546875,94.0
-19.510000228881836,1.0,51.0,48.0,2.688999891281128,4368.7109375,95.30000305175781
-30.0,1.0,40.0,59.0,2.7060000896453857,7559.294921875,88.0
-47.04999923706055,0.0,21.0,79.0,2.7139999866485596,7618.31689453125,67.80000305175781
-33.79999923706055,11.0,37.0,50.0,2.6710000038146973,5710.84130859375,67.9000015258789
-37.29999923706055,3.0,36.0,61.0,2.7090001106262207,6990.42578125,91.69999694824219
-35.29999923706055,1.0,35.0,64.0,2.6679999828338623,6551.03759765625,94.0
-48.04999923706055,0.0,18.0,82.0,2.7249999046325684,7618.31689453125,76.5999984741211
-43.45000076293945,1.0,35.0,64.0,2.7269999980926514,7270.08740234375,71.19999694824219
-14.899999618530273,2.0,34.0,64.0,2.6480000019073486,1645.87890625,93.30000305175781
-40.04999923706055,2.0,31.0,67.0,2.740000009536743,7340.244140625,83.0999984741211
-21.399999618530273,1.0,43.0,56.0,2.690000057220459,7253.40869140625,100.5
-39.22999954223633,1.0,32.0,67.0,2.7060000896453857,7618.31689453125,84.9000015258789
-34.54999923706055,0.0,32.0,68.0,2.7200000286102295,7488.591796875,87.4000015258789
-27.799999237060547,1.0,49.0,50.0,2.6470000743865967,5710.84130859375,90.0
-24.549999237060547,0.0,45.0,55.0,2.696000099182129,7488.591796875,91.9000015258789
-39.25,1.0,35.0,64.0,2.7160000801086426,6521.95361328125,90.19999694824219
-44.900001525878906,4.0,43.0,53.0,2.7330000400543213,7528.234375,62.900001525878906
-40.93000030517578,0.0,51.0,49.0,2.630000114440918,6000.03662109375,84.9000015258789
-35.95000076293945,1.0,34.0,65.0,2.7160000801086426,7340.244140625,80.80000305175781
-49.75,6.0,38.0,56.0,2.6589999198913574,7595.45703125,65.69999694824219
-27.25,1.0,55.0,44.0,2.6559998989105225,7305.67333984375,105.80000305175781
-40.25,20.0,29.0,50.0,2.7070000171661377,6521.95361328125,67.19999694824219
-15.300000190734863,5.0,42.0,51.0,2.684999942779541,5386.92919921875,90.5999984741211
-24.399999618530273,1.0,48.0,51.0,2.690999984741211,7253.40869140625,102.9000015258789
-23.399999618530273,3.0,39.0,58.0,2.690000057220459,4419.67822265625,105.4000015258789
-22.0,1.0,42.0,57.0,2.674999952316284,7559.294921875,94.69999694824219
-25.940000534057617,0.0,33.0,67.0,2.684999942779541,3078.81787109375,87.80000305175781
-20.299999237060547,0.0,48.0,52.0,2.7009999752044678,5386.92919921875,93.0
-47.0,0.0,27.0,73.0,2.7300000190734863,7340.244140625,72.80000305175781
-45.75,2.0,31.0,67.0,2.74399995803833,7523.443359375,72.69999694824219
-23.399999618530273,0.0,39.0,61.0,2.628000020980835,4419.67822265625,105.4000015258789
-47.45000076293945,0.0,40.0,60.0,2.7139999866485596,7528.234375,64.0999984741211
-44.95000076293945,0.0,34.0,66.0,2.7269999980926514,7152.54931640625,70.5999984741211
-25.100000381469727,0.0,41.0,59.0,2.7060000896453857,7152.54931640625,87.19999694824219
-21.299999237060547,1.0,41.0,58.0,2.690999984741211,3961.40185546875,97.4000015258789
-43.45000076293945,1.0,35.0,64.0,2.7269999980926514,7270.08740234375,71.19999694824219
-44.900001525878906,0.0,31.0,69.0,2.7320001125335693,7082.2646484375,67.0999984741211
-45.400001525878906,2.0,34.0,64.0,2.7309999465942383,7488.591796875,68.0999984741211
-47.5,24.0,39.0,37.0,2.684000015258789,7152.54931640625,46.5
-27.100000381469727,0.0,34.0,66.0,2.700000047683716,7152.54931640625,86.19999694824219
-32.0,1.0,37.0,62.0,2.6689999103546143,6542.29833984375,76.30000305175781
-44.20000076293945,1.0,26.0,73.0,2.746000051498413,7595.45703125,82.80000305175781
-29.030000686645508,4.0,38.0,58.0,2.7300000190734863,3564.92138671875,88.9000015258789
-17.010000228881836,1.0,36.0,63.0,2.680000066757202,2077.875244140625,95.9000015258789
-27.299999237060547,1.0,42.0,57.0,2.6659998893737793,6191.42724609375,92.0
-29.299999237060547,1.0,43.0,56.0,2.688999891281128,3961.40185546875,89.19999694824219
-27.600000381469727,1.0,47.0,52.0,2.6549999713897705,4991.93505859375,81.69999694824219
-21.600000381469727,1.0,42.0,57.0,2.7230000495910645,4540.501953125,90.4000015258789
-30.0,1.0,35.0,64.0,2.6540000438690186,6542.29833984375,84.5999984741211
-28.399999618530273,3.0,48.0,49.0,2.6730000972747803,4972.50390625,83.30000305175781
-43.970001220703125,3.0,34.0,63.0,2.7300000190734863,7270.08740234375,68.9000015258789
-45.400001525878906,2.0,34.0,64.0,2.7309999465942383,7488.591796875,68.0999984741211
-29.100000381469727,0.0,33.0,67.0,2.680000066757202,6440.28466796875,85.80000305175781
-23.299999237060547,2.0,37.0,61.0,2.6689999103546143,6191.42724609375,99.80000305175781
-48.400001525878906,2.0,27.0,71.0,2.740999937057495,7488.591796875,69.69999694824219
-18.399999618530273,1.0,42.0,57.0,2.6489999294281006,4006.3388671875,119.80000305175781
-25.299999237060547,0.0,36.0,64.0,2.634000062942505,6551.03759765625,94.9000015258789
-26.399999618530273,2.0,45.0,53.0,2.6640000343322754,4753.81884765625,84.19999694824219
-52.099998474121094,10.0,38.0,52.0,2.7109999656677246,7618.31689453125,58.900001525878906
-43.22999954223633,8.0,51.0,41.0,2.4260001182556152,6000.03662109375,92.9000015258789
-18.549999237060547,0.0,42.0,58.0,2.680999994277954,7488.591796875,98.0999984741211
-25.299999237060547,0.0,44.0,56.0,2.671999931335449,5996.48876953125,102.4000015258789
-32.099998474121094,66.0,13.0,20.0,2.6649999618530273,4991.93505859375,31.799999237060547
-46.5,0.0,32.0,68.0,2.734999895095825,7340.244140625,72.69999694824219
-49.150001525878906,0.0,45.0,55.0,2.7209999561309814,7671.064453125,58.099998474121094
-40.650001525878906,1.0,32.0,67.0,2.7290000915527344,7488.591796875,85.19999694824219
-39.349998474121094,1.0,30.0,69.0,2.7219998836517334,7152.54931640625,82.0
-24.600000381469727,1.0,43.0,56.0,2.7300000190734863,4540.501953125,90.0999984741211
-33.29999923706055,1.0,41.0,58.0,2.700000047683716,6191.42724609375,77.5999984741211
-43.650001525878906,1.0,20.0,79.0,2.736999988555908,7595.45703125,94.69999694824219
-47.75,2.0,45.0,53.0,2.734999895095825,7671.064453125,61.5
-46.900001525878906,0.0,21.0,79.0,2.736999988555908,7082.2646484375,74.5999984741211
-42.099998474121094,0.0,32.0,68.0,2.7309999465942383,6440.28466796875,69.69999694824219
-22.600000381469727,4.0,58.0,38.0,2.6559998989105225,4044.38623046875,100.80000305175781
-30.0,1.0,40.0,59.0,2.7060000896453857,7559.294921875,88.0
-29.399999618530273,0.0,33.0,67.0,2.6640000343322754,6521.95361328125,88.0
-27.399999618530273,0.0,40.0,60.0,2.677000045776367,6521.95361328125,88.19999694824219
-42.400001525878906,2.0,31.0,67.0,2.736999988555908,6521.95361328125,69.0999984741211
-36.349998474121094,0.0,52.0,48.0,2.7100000381469727,7340.244140625,83.0999984741211
-44.20000076293945,1.0,26.0,73.0,2.746000051498413,7595.45703125,82.80000305175781
-23.299999237060547,0.0,41.0,59.0,2.635999917984009,6551.03759765625,88.9000015258789
-18.600000381469727,3.0,41.0,56.0,2.734999895095825,4540.501953125,90.69999694824219
-26.399999618530273,2.0,47.0,51.0,2.6649999618530273,4972.50390625,103.0
-39.54999923706055,1.0,33.0,66.0,2.7300000190734863,7488.591796875,85.19999694824219
