kyori,Z0,wl0
7305.673507,-25.23,103.4
7305.673507,-27.25,105.8
7305.673507,-28.23,101.3
7305.673507,-31.25,95.3
7305.673507,-32.25,89.3
7305.673507,-35.22,95.1
7305.673507,-36.25,97.2
7305.673507,-38.25,95.9
7305.673507,-40.25,81.9
7305.673507,-42.25,74.5
7305.673507,-44.24,85.3
7270.087216,-42.96,71.4
7270.087216,-43.45,71.2
7270.087216,-43.97,68.9
7270.087216,-44.47,65.8
7270.087216,-44.96,72
7270.087216,-45.46,78.3
7270.087216,-45.96,69.6
7270.087216,-46.46,71
7270.087216,-46.97,81.6
7270.087216,-47.47,73.5
7270.087216,-47.95,61.3
7152.549301,-19.1,93.8
7152.549301,-21.1,86.6
7152.549301,-23.1,88
7152.549301,-25.1,87.2
7152.549301,-27.1,86.2
7152.549301,-29.1,84.8
7152.549301,-31.1,83.4
7152.549301,-33.1,82.5
7152.549301,-35.1,82.5
7152.549301,-36.95,81.2
7152.549301,-37.35,78.2
7152.549301,-37.95,80.6
7152.549301,-38.35,79.3
7152.549301,-38.95,79.1
7152.549301,-39.35,82
7152.549301,-39.95,87.4
7152.549301,-40.35,90.1
7152.549301,-40.95,86.5
7152.549301,-41.35,86.2
7152.549301,-41.95,82.8
7152.549301,-42.35,75.9
7152.549301,-42.95,73
7152.549301,-43.3,71
7152.549301,-43.95,75.5
7152.549301,-44.35,74.2
7152.549301,-44.95,70.6
7152.549301,-45.3,70.5
7152.549301,-45.95,69.6
7152.549301,-46.35,70.6
7152.549301,-46.97,72.2
7152.549301,-47.5,46.5
7152.549301,-48,36.4
7082.264655,-36.9,79.3
7082.264655,-37.4,78.3
7082.264655,-37.9,80.5
7082.264655,-38.4,79.8
7082.264655,-38.9,79.4
7082.264655,-39.4,80.4
7082.264655,-39.9,81.7
7082.264655,-40.4,86.3
7082.264655,-40.9,87.4
7082.264655,-41.4,86.5
7082.264655,-41.9,81.4
7082.264655,-42.4,74.6
7082.264655,-42.9,68.7
7082.264655,-43.4,66.8
7082.264655,-43.9,70.8
7082.264655,-44.4,69
7082.264655,-44.9,67.1
7082.264655,-45.4,67.2
7082.264655,-45.9,71.8
7082.264655,-46.4,73.7
7082.264655,-46.9,74.6
7082.264655,-47.4,75.3
6707.565672,-36.2,82.6
6707.565672,-36.7,83.3
6707.565672,-37.2,82.6
6707.565672,-37.7,80.8
6707.565672,-38.2,82.9
6707.565672,-38.7,83.3
6707.565672,-39.23,85
6707.565672,-39.7,83.8
6707.565672,-40.2,86.2
6707.565672,-40.7,68.2
6707.565672,-41.21,72
6707.565672,-41.71,69.3
6707.565672,-42.2,71.7
6707.565672,-42.69,77.1
6707.565672,-43.19,77.9
6707.565672,-43.71,77.3
6707.565672,-44.2,73.4
6551.037688,-17.3,94.9
6551.037688,-19.3,94.3
6551.037688,-21.3,94
6551.037688,-23.3,88.9
6551.037688,-25.3,94.9
6551.037688,-27.3,95.6
6551.037688,-29.3,89.6
6551.037688,-31.3,94.2
6551.037688,-33.3,92.9
6551.037688,-35.3,94
6551.037688,-39.3,58.4
6551.037688,-41.3,72.1
6551.037688,-43.2,71.6
6521.953727,-17.4,87.4
6521.953727,-19.4,91.1
6521.953727,-21.4,89.9
6521.953727,-23.4,90
6521.953727,-25.4,89.7
6521.953727,-27.4,88.2
6521.953727,-29.4,88
6521.953727,-31.4,77.8
6521.953727,-33.4,84
6521.953727,-35.4,82.6
6521.953727,-36.4,85.2
6521.953727,-37.4,81.9
6521.953727,-38.4,92.2
6521.953727,-39.25,90.2
6521.953727,-39.65,87.1
6521.953727,-40.25,67.2
6521.953727,-40.65,65
6521.953727,-41.4,73.5
6521.953727,-42.4,69.1
6521.953727,-43.25,72.3
6521.953727,-43.65,67.8
6521.953727,-44.25,69.9
6521.953727,-44.65,70.9
6521.953727,-45.3,64
6521.953727,-45.7,43.2
6440.284847,-17.1,94.4
6440.284847,-19.1,91.4
6440.284847,-21.1,88
6440.284847,-23.1,87.1
6440.284847,-25.1,90
6440.284847,-27.02,87.4
6440.284847,-29.1,85.8
6440.284847,-31.1,80
6440.284847,-33.1,82.1
6440.284847,-35.1,83.6
6440.284847,-36.1,79
6440.284847,-37.1,85.4
6440.284847,-37.95,88.3
6440.284847,-38.35,87
6440.284847,-39.25,55.4
6440.284847,-40.1,67.5
6440.284847,-41.35,69.8
6440.284847,-42.1,69.7
6440.284847,-42.95,73.8
6440.284847,-43.35,72.8
6242.249655,-33.1,85.8
6242.249655,-34.1,85.9
6242.249655,-35.1,80.3
6242.249655,-36.1,86.6
6242.249655,-37.1,88.6
6242.249655,-37.53,46.5
6242.249655,-37.67,41.3
6242.249655,-38.1,39.6
6242.249655,-38.65,67.1
6242.249655,-39.1,80.6
6242.249655,-40.1,69.9
6242.249655,-41.1,71.9
6242.249655,-42.11,71.4
6242.249655,-42.58,76.2
6242.249655,-42.74,75.3
6242.249655,-43.03,46.3
6000.036445,-49.93,47.5
6000.036445,-40.93,84.9
6000.036445,-47.98,90.3
6000.036445,-38.93,92.5
6000.036445,-43.23,92.9
6000.036445,-32.93,96.5
6000.036445,-36.93,96.6
6000.036445,-30.93,97.6
6000.036445,-34.93,97.6
6000.036445,-22.93,100.3
6000.036445,-28.93,100.3
6000.036445,-18.93,100.4
6000.036445,-26.93,100.4
6000.036445,-20.93,100.6
6000.036445,-16.9,101.9
6000.036445,-24.93,103.9
5578.633574,-46,31.1
5578.633574,-36.08,49.2
5578.633574,-42.08,52.2
5578.633574,-35.92,77
5578.633574,-40,77.2
5578.633574,-34,84.6
5578.633574,-38.03,93
5578.633574,-30.1,96
5578.633574,-17.95,99
5578.633574,-23.95,99.1
5469.026124,-36.5,35.1
5469.026124,-46.38,37.4
5469.026124,-38.5,76.7
5469.026124,-29.5,80.9
5469.026124,-34.5,86.6
5469.026124,-32.5,89.8
5469.026124,-23.45,96.7
5386.929043,-35.32,74.8
5386.929043,-33.3,81
5386.929043,-34.3,82.7
5386.929043,-30.3,83.7
5386.929043,-32.32,84.9
5386.929043,-29.33,87.6
5386.929043,-16.3,87.7
5386.929043,-31.32,88.3
5386.929043,-21.3,88.8
5386.929043,-18.3,90.2
5386.929043,-22.3,90.5
5386.929043,-26.3,90.5
5386.929043,-28.3,90.5
5386.929043,-15.3,90.6
5386.929043,-27.33,91.1
5386.929043,-19.3,92.4
5386.929043,-20.3,93
5386.929043,-25.33,93.1
5386.929043,-17.3,94.8
5386.929043,-23.3,95
5386.929043,-24.33,95.3
5297.873705,-33.9,41.2
5297.873705,-35.9,57.7
5297.873705,-27.9,71
5297.873705,-29.9,79.1
5297.873705,-31.9,80.3
5297.873705,-25.9,81.9
5297.873705,-21.9,82.6
5297.873705,-23.9,83.4
5297.873705,-19.9,86.3
5297.873705,-17.9,88.5
5213.552507,-33.8,62.2
5213.552507,-31.8,83
5213.552507,-25.8,86.3
5213.552507,-21.8,87.2
5213.552507,-27.8,87.2
5213.552507,-29.8,87.7
5213.552507,-19.8,90
5213.552507,-23.8,91.7
5213.552507,-17.8,92.1
5003.375358,-31.39,80
5003.375358,-29.39,88.9
5003.375358,-25.39,91.5
5003.375358,-22.39,93
5003.375358,-19.89,96.3
4991.934948,-32.1,31.8
4991.934948,-30.6,74.7
4991.934948,-29.1,81.5
4991.934948,-27.6,81.7
4991.934948,-21.6,83
4991.934948,-17.1,83.5
4991.934948,-24.6,85
4991.934948,-20.1,87.5
4991.934948,-26.1,88.2
4991.934948,-18.6,89.2
4991.934948,-23.1,89.7
4991.934948,-15.6,94.5
4991.934948,-14.1,95.8
4698.186289,-32.44,86.2
4698.186289,-29.44,95.2
4698.186289,-26.44,96.8
4540.502108,-32.6,37
4540.502108,-33.6,62.1
4540.502108,-31.6,76.5
4540.502108,-28.6,82.5
4540.502108,-30.6,82.5
4540.502108,-22.6,84.8
4540.502108,-29.6,85.5
4540.502108,-23.6,85.7
4540.502108,-27.6,86.3
4540.502108,-26.6,87.8
4540.502108,-20.6,89
4540.502108,-24.6,90.1
4540.502108,-21.6,90.4
4540.502108,-18.6,90.7
4540.502108,-17.6,92.9
4540.502108,-19.6,94.3
4540.502108,-25.6,94.9
4368.710956,-33.51,55.3
4368.710956,-31.51,66.8
4368.710956,-29.51,86.3
4368.710956,-27.51,90.9
4368.710956,-25.51,93.3
4368.710956,-21.51,94.3
