code A,code B,位置,N0,E0,試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-22.55,0,41,59,2.681,7488.591954,95.6
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-27.3,0,39,61,2.656,6551.037688,95.6
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-22.55,0,41,59,2.681,7488.591954,95.6
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-23.3,1,44,55,2.658,3961.401947,95.4
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-31.25,1,54,45,2.655,7305.673507,95.3
O988P606,"No.2-16 ",神戸市中央区港島９丁目の地先公有水面,34.6282202,135.2387821,-43.2,1,19,80,2.73,7595.457234,95.3
S284Q395,"KW00279 ","神戸市生田区新港町新港第４突堤地先  ",34.6723889,135.2093889,-24.38,11,52,37,2.43,2032.686551,95.3
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-19.51,1,51,48,2.689,4368.710956,95.3
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-24.33,1,46,53,2.692,5386.929043,95.3
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-31.25,1,54,45,2.655,7305.673507,95.3
O988P606,"No.2-16 ",神戸市中央区港島９丁目の地先公有水面,34.6282219,135.2387781,-43.2,1,19,80,2.73,7595.457234,95.3
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-24.0,1,34,65,2.658,6542.298244,95.2
O621K105,"No.B-3  ","大阪府泉州沖海域                    ",34.4366669,135.2655547,-26.5,1,51,48,2.659,5411.407063,95.2
S801U131,"2K00012 ","神戸市中央区港島南町6               ",34.6515278,135.2245,-29.44,0,43,57,2.7,4698.186289,95.2
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-35.22,1,59,40,2.646,7305.673507,95.1
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-20.1,0,34,66,2.72,7340.244076,95.1
O237p180,"No.4    ","神戸市生田区神戸港外海面            ",34.6663753,135.21625,-17.92,1,51,48,2.624,2886.098498,95.1
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-28.3,1,46,53,2.691,3961.401947,95.1
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-35.22,1,59,40,2.646,7305.673507,95.1
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-20.1,0,34,66,2.72,7340.244076,95.1
O237p184,"No.8    ","神戸市生田区神戸港外海面            ",34.6729167,135.21345,-16.22,1,44,55,2.709,2122.281399,95.0
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-23.3,1,47,52,2.702,5386.929043,95.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-17.3,2,43,55,2.672,6551.037688,94.9
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-25.3,0,36,64,2.634,6551.037688,94.9
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-25.6,1,44,55,2.717,4540.502108,94.9
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-17.3,2,43,55,2.672,6551.037688,94.9
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-25.3,0,36,64,2.634,6551.037688,94.9
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-17.3,1,46,53,2.702,5386.929043,94.8
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-22.0,1,42,57,2.675,7559.295029,94.7
O988P606,"No.2-16 ",神戸市中央区港島９丁目の地先公有水面,34.6282202,135.2387821,-43.65,1,20,79,2.737,7595.457234,94.7
O988P606,"No.2-16 ",神戸市中央区港島９丁目の地先公有水面,34.6282219,135.2387781,-43.65,1,20,79,2.737,7595.457234,94.7
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-22.0,1,42,57,2.675,7559.295029,94.7
O237p182,"No.6    ","神戸市生田区神戸港外海面            ",34.6697917,135.2154369,-17.83,1,41,58,2.662,2513.826512,94.5
O003P002,"No.1    ","神戸港ポートアイランド沖            ",34.6488567,135.2251433,-15.6,1,53,45,2.672,4991.934948,94.5
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-31.3,2,46,52,2.663,6990.425817,94.4
O662ka03,"No.S.3  ","泉州沖海域（空港島内）　　　　　　  ",34.435935,135.261475,-25.35,1,45,54,2.633,5636.261618,94.4
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381957,135.2347541,-17.1,4,37,59,2.707,6440.284847,94.4
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-23.2,0,40,60,2.704,7618.316711,94.4
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-26.3,1,37,62,2.657,3961.401947,94.4
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381939,135.23475,-17.1,4,37,59,2.707,6440.284847,94.4
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293611,135.2420281,-23.2,0,40,60,2.704,7618.316711,94.4
O621K116,"No.E-8  ","大阪府泉州沖海域                    ",34.4344453,135.261945,-26.6,1,47,52,2.659,5497.321108,94.3
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-19.3,1,49,50,2.658,6551.037688,94.3
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-21.51,1,49,50,2.689,4368.710956,94.3
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-19.6,2,42,56,2.719,4540.502108,94.3
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-19.3,1,49,50,2.658,6551.037688,94.3
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-31.3,0,36,64,2.667,6551.037688,94.2
O227P088,"No.16   ","神戸港第２，第３防波堤附近          ",34.6654881,135.21556,-21.0,5,39,56,2.71,2949.35975,94.2
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-17.3,1,41,58,2.669,3961.401947,94.2
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-31.3,0,36,64,2.667,6551.037688,94.2
S314Q555,"KW01006 ","神戸市生田区新港第４突堤地先        ",34.6735,135.2123611,-18.81,2,33,65,2.68,2019.456269,94.1
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-21.3,0,37,63,2.646,6551.037688,94.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-35.3,1,35,64,2.668,6551.037688,94.0
O988P601,"No.2-11 ",神戸市中央区港島９丁目の地先公有水面,34.6291093,135.240948,-43.8,2,19,79,2.742,7596.370501,94.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-21.3,0,37,63,2.646,6551.037688,94.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-35.3,1,35,64,2.668,6551.037688,94.0
O988P601,"No.2-11 ",神戸市中央区港島９丁目の地先公有水面,34.6291111,135.2409439,-43.8,2,19,79,2.742,7596.370501,94.0
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-30.3,1,49,50,2.656,6990.425817,93.8
O994P660,"R-2     ",神戸市中央区港島南町及び港島の地先公,34.6320813,135.2373371,-19.1,0,40,60,2.706,7152.549301,93.8
S314Q553,"KW01004 ","神戸市生田区新港第４突堤地先        ",34.6722222,135.2110278,-19.53,4,37,59,2.68,2100.212415,93.8
O994P660,"R-2     ",神戸市中央区港島南町及び港島の地先公,34.6320831,135.2373331,-19.1,0,40,60,2.706,7152.549301,93.8
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-23.0,0,43,57,2.656,6542.298244,93.7
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-42.55,1,25,74,2.713,7488.591954,93.7
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-42.55,1,25,74,2.713,7488.591954,93.7
O237p184,"No.8    ","神戸市生田区神戸港外海面            ",34.6729167,135.21345,-18.28,3,51,46,2.694,2122.281399,93.5
O225P072,"P-59-3  ","神戸市中央区港島町地先              ",34.6770833,135.2118236,-14.9,2,34,64,2.648,1645.878951,93.3
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-25.51,1,53,46,2.689,4368.710956,93.3
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-24.0,2,40,58,2.666,7559.295029,93.2
S314Q554,"KW01005 ","神戸市生田区新港第４突堤地先        ",34.6726667,135.2116944,-19.06,0,32,68,2.61,2077.875235,93.2
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-24.0,2,40,58,2.666,7559.295029,93.2
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-25.33,0,46,54,2.668,5386.929043,93.1
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-25.8,2,48,50,2.663,5710.841483,93.0
S326Q648,"KW04092 ","ポ−トアイランド南公園              ",34.6607778,135.21925,-28.03,1,37,62,2.714,3564.921362,93.0
S187P881,"KG05147 ","神戸市中央区港島地先                ",34.6485278,135.2245556,-22.39,1,44,55,2.69,5003.375358,93.0
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-20.3,0,48,52,2.701,5386.929043,93.0
O997P668,"No.2    ",神戸市中央区港島及び港島南町の地先公,34.6458061,135.2320561,-38.03,6,25,69,2.707,5578.633574,93.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-33.3,0,37,63,2.661,6551.037688,92.9
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-17.6,2,48,50,2.722,4540.502108,92.9
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-33.3,0,37,63,2.661,6551.037688,92.9
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-43.23,8,51,41,2.426,6000.036445,92.9
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-29.3,2,53,45,2.668,6990.425817,92.7
S282Q382,"KW00266 ","神戸市港外                          ",34.6715556,135.2104722,-16.46,0,51,49,2.697,2151.833284,92.7
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-26.3,1,43,56,2.652,5996.489008,92.6
S282Q382,"KW00266 ","神戸市港外                          ",34.6715556,135.2104722,-17.92,0,48,52,2.694,2151.833284,92.6
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-38.93,7,43,49,2.721,6000.036445,92.5
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-19.3,1,49,50,2.683,5386.929043,92.4
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-40.95,1,27,72,2.736,7340.244076,92.3
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-40.95,1,27,72,2.736,7340.244076,92.3
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-38.4,1,32,67,2.723,6521.953727,92.2
S282Q375,"KW00259 ","神戸市港外                          ",34.6640556,135.2198056,-22.67,1,42,57,2.679,3263.807183,92.2
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-38.4,1,32,67,2.723,6521.953727,92.2
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-26.55,0,41,59,2.673,7488.591954,92.1
O244P213,"No.2    ","神戸市中央区ポートアイランド沖      ",34.6471267,135.22638,-17.8,2,50,48,2.718,5213.552507,92.1
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-26.55,0,41,59,2.673,7488.591954,92.1
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-30.4,1,68,31,2.697,7253.408904,92.0
O620K089,"No.A-6  ","大阪府泉州沖海域                    ",34.4406667,135.2584533,-27.3,1,42,57,2.666,6191.427442,92.0
O237p182,"No.6    ","神戸市生田区神戸港外海面            ",34.6697917,135.2154369,-21.33,2,51,47,2.664,2513.826512,92.0
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-24.55,0,45,55,2.696,7488.591954,91.9
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-24.55,0,45,55,2.696,7488.591954,91.9
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-29.4,2,46,52,2.675,7253.408904,91.8
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-27.7,1,49,50,2.657,5694.240586,91.8
S282Q380,"KW00264 ","神戸市港外                          ",34.6719444,135.2108333,-20.01,3,45,51,2.613,2122.606413,91.8
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-37.3,3,36,61,2.709,6990.425817,91.7
S212P992,"KK00799 ","神戸市生田区ＩＳＱ国際交流会館敷地  ",34.66275,135.2169167,-24.62,0,38,62,2.61,3277.467006,91.7
O244P213,"No.2    ","神戸市中央区ポートアイランド沖      ",34.6471267,135.22638,-23.8,1,51,48,2.691,5213.552507,91.7
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-41.55,0,30,70,2.719,7488.591954,91.6
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-41.55,0,30,70,2.719,7488.591954,91.6
S187P881,"KG05147 ","神戸市中央区港島地先                ",34.6485278,135.2245556,-25.39,0,41,59,2.697,5003.375358,91.5
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381957,135.2347541,-19.1,1,31,68,2.698,6440.284847,91.4
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381939,135.23475,-19.1,1,31,68,2.698,6440.284847,91.4
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-36.3,5,39,56,2.723,6990.425817,91.3
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-27.3,0,50,50,2.684,5996.489008,91.3
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-26.0,1,43,56,2.664,7559.295029,91.3
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-26.0,1,43,56,2.664,7559.295029,91.3
S282Q375,"KW00259 ","神戸市港外                          ",34.6640556,135.2198056,-18.3,1,50,49,2.675,3263.807183,91.2
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-19.4,1,38,61,2.709,6521.953727,91.1
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-24.3,1,46,53,2.666,3961.401947,91.1
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-27.33,0,47,53,2.678,5386.929043,91.1
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-19.4,1,38,61,2.709,6521.953727,91.1
S282Q382,"KW00266 ","神戸市港外                          ",34.6715556,135.2104722,-19.36,0,51,49,2.698,2151.833284,90.9
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-27.51,1,35,64,2.682,4368.710956,90.9
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-35.2,0,29,71,2.7,7618.316711,90.8
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293611,135.2420281,-35.2,0,29,71,2.7,7618.316711,90.8
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-18.6,3,41,56,2.735,4540.502108,90.7
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-15.3,5,42,51,2.685,5386.929043,90.6
O620K090,"No.A-7  ","大阪府泉州沖海域                    ",34.4403264,135.26236,-27.1,0,49,51,2.681,5904.530147,90.5
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-22.3,0,51,49,2.705,5386.929043,90.5
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-26.3,0,49,51,2.667,5386.929043,90.5
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-28.3,0,47,53,2.675,5386.929043,90.5
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-31.23,0,36,64,2.7,7618.316711,90.4
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-22.1,4,42,54,2.697,7340.244076,90.4
S282Q375,"KW00259 ","神戸市港外                          ",34.6640556,135.2198056,-24.15,1,42,57,2.676,3263.807183,90.4
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-21.6,1,42,57,2.723,4540.502108,90.4
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-22.1,4,42,54,2.697,7340.244076,90.4
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-26.0,0,43,57,2.659,6542.298244,90.3
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-26.8,1,47,52,2.631,5710.841483,90.3
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-44.05,1,19,80,2.706,7618.316711,90.3
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-47.98,64,18,12,2.632,6000.036445,90.3
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293611,135.2420281,-44.05,1,19,80,2.706,7618.316711,90.3
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-29.4,3,42,55,2.655,4972.503694,90.2
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-39.25,1,35,64,2.716,6521.953727,90.2
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-18.1,2,32,66,2.732,7340.244076,90.2
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-18.3,1,45,54,2.719,5386.929043,90.2
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-39.25,1,35,64,2.716,6521.953727,90.2
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-18.1,2,32,66,2.732,7340.244076,90.2
O994P660,"R-2     ",神戸市中央区港島南町及び港島の地先公,34.6320813,135.2373371,-40.35,1,23,76,2.708,7152.549301,90.1
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-27.3,1,50,49,2.665,3961.401947,90.1
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-24.6,1,43,56,2.73,4540.502108,90.1
O994P660,"R-2     ",神戸市中央区港島南町及び港島の地先公,34.6320831,135.2373331,-40.35,1,23,76,2.708,7152.549301,90.1
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-27.8,1,49,50,2.647,5710.841483,90.0
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-23.4,1,33,66,2.704,6521.953727,90.0
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381957,135.2347541,-25.1,1,34,65,2.688,6440.284847,90.0
O229P105,"No.7    ","新埠頭防波堤護岸及第６防波堤        ",34.6605567,135.223175,-28.55,15,30,55,2.731,3753.514721,90.0
O201P005,"No.2    ","神戸市生田区新港町・茸合区小野浜町  ",34.6555619,135.2243719,-23.9,8,37,55,2.663,4292.002543,90.0
O244P213,"No.2    ","神戸市中央区ポートアイランド沖      ",34.6471267,135.22638,-19.8,1,45,54,2.705,5213.552507,90.0
O987P590,"No.1- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6381939,135.23475,-25.1,1,34,65,2.688,6440.284847,90.0
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-23.4,1,33,66,2.704,6521.953727,90.0
O621K110,"No.D-3  ","大阪府泉州沖海域                    ",34.4222219,135.2466664,-26.7,3,45,52,2.662,5192.00076,89.9
O609K013,"No.56-3 ","大阪府泉州沖海域                    ",34.4353603,135.2673497,-26.7,1,49,50,2.665,5192.00076,89.9
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-21.4,1,38,61,2.715,6521.953727,89.9
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-41.35,0,27,73,2.695,7340.244076,89.9
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-42.35,1,27,72,2.724,7340.244076,89.9
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-21.4,1,38,61,2.715,6521.953727,89.9
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-41.35,0,27,73,2.695,7340.244076,89.9
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-42.35,1,27,72,2.724,7340.244076,89.9
O997P667,"No.1    ",神戸市中央区港島及び港島南町の地先公,34.6466939,135.2315281,-32.5,1,41,58,2.671,5469.026124,89.8
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383629,135.2370321,-25.4,1,38,61,2.733,6521.953727,89.7
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-19.3,0,38,62,2.684,3961.401947,89.7
O003P002,"No.1    ","神戸港ポートアイランド沖            ",34.6488567,135.2251433,-23.1,1,51,48,2.664,4991.934948,89.7
O987P582,"No.1- 1 ",神戸市中央区港島９丁目の地先公有水面,34.6383611,135.2370281,-25.4,1,38,61,2.733,6521.953727,89.7
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-28.0,1,37,62,2.666,6542.298244,89.6
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-29.3,0,39,61,2.648,6551.037688,89.6
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-29.3,0,39,61,2.648,6551.037688,89.6
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-25.4,4,54,42,2.653,4753.818703,89.5
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-28.55,0,39,61,2.697,7488.591954,89.5
O225P072,"P-59-3  ","神戸市中央区港島町地先              ",34.6770833,135.2118236,-16.4,7,53,40,2.653,1645.878951,89.5
S100N004,"No.1-3  ",神戸市中央区ポートアイランド（ＰＩフ,34.6650483,135.2177517,-23.26,0,39,61,2.681,3078.817978,89.5
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-28.55,0,39,61,2.697,7488.591954,89.5
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-24.1,5,48,47,2.717,7340.244076,89.4
S282Q375,"KW00259 ","神戸市港外                          ",34.6640556,135.2198056,-21.24,1,45,54,2.688,3263.807183,89.4
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-24.1,5,48,47,2.717,7340.244076,89.4
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-32.25,4,52,44,2.621,7305.673507,89.3
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-32.25,4,52,44,2.621,7305.673507,89.3
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302763,135.2375321,-41.95,1,28,71,2.73,7340.244076,89.2
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-29.3,1,43,56,2.689,3961.401947,89.2
O003P002,"No.1    ","神戸港ポートアイランド沖            ",34.6488567,135.2251433,-18.6,1,56,43,2.669,4991.934948,89.2
O994P663,"R-5     ",神戸市中央区港島南町及び港島の地先公,34.6302781,135.2375281,-41.95,1,28,71,2.73,7340.244076,89.2
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-25.4,4,34,62,2.671,4419.678326,89.0
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-29.23,2,39,59,2.696,7618.316711,89.0
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-28.0,2,42,56,2.696,7559.295029,89.0
O296p326,"No.KH-1 ","神戸市中央区港島地先                ",34.6537853,135.2261053,-20.6,2,42,56,2.725,4540.502108,89.0
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-28.0,2,42,56,2.696,7559.295029,89.0
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-23.3,0,41,59,2.636,6551.037688,88.9
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-30.55,0,37,63,2.702,7488.591954,88.9
S326Q648,"KW04092 ","ポ−トアイランド南公園              ",34.6607778,135.21925,-29.03,4,38,58,2.73,3564.921362,88.9
S282Q375,"KW00259 ","神戸市港外                          ",34.6640556,135.2198056,-19.76,1,46,53,2.673,3263.807183,88.9
S187P881,"KG05147 ","神戸市中央区港島地先                ",34.6485278,135.2245556,-29.39,0,37,63,2.709,5003.375358,88.9
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360469,135.2321539,-23.3,0,41,59,2.636,6551.037688,88.9
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-30.55,0,37,63,2.702,7488.591954,88.9
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-26.4,6,32,62,2.715,4419.678326,88.8
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-23.4,3,38,59,2.667,4006.338913,88.8
S282Q383,"KW00267 ","神戸市港外                          ",34.6718056,135.2128611,-20.11,3,44,53,2.636,2208.824879,88.8
O242P206,"No.2    ","神戸市ポートアイランド沖合          ",34.6471319,135.23063,-21.3,1,45,54,2.693,5386.929043,88.8
