code A,code B,位置,N0,E0,試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
O621K116,"No.E-8  ","大阪府泉州沖海域                    ",34.4344453,135.261945,-20.6,1,42,57,2.656,5497.321108,107.3
O620k088,"No.A-5  ","大阪府泉州沖海域                    ",34.441005,135.2545467,-22.9,0,44,56,2.72,6485.585409,107.1
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-19.4,1,37,62,2.733,7253.408904,107.0
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-21.8,1,42,57,2.675,5710.841483,107.0
O620k088,"No.A-5  ","大阪府泉州沖海域                    ",34.441005,135.2545467,-20.9,1,45,54,2.691,6485.585409,106.8
O609K013,"No.56-3 ","大阪府泉州沖海域                    ",34.4353603,135.2673497,-23.7,1,40,59,2.647,5192.00076,106.7
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-20.8,0,43,57,2.673,5710.841483,106.5
O621K116,"No.E-8  ","大阪府泉州沖海域                    ",34.4344453,135.261945,-18.6,1,39,60,2.665,5497.321108,106.4
O620K090,"No.A-7  ","大阪府泉州沖海域                    ",34.4403264,135.26236,-23.1,0,44,56,2.703,5904.530147,106.2
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-21.4,2,44,54,2.672,4753.818703,106.2
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-23.7,1,42,57,2.652,5694.240586,105.9
O619K070,No.60B-5,"大阪府泉州沖海域                    ",34.4252783,135.2783336,-19.4,0,50,50,2.611,3691.310124,105.8
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-27.25,1,55,44,2.656,7305.673507,105.8
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-27.25,1,55,44,2.656,7305.673507,105.8
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-22.4,2,38,60,2.643,4753.818703,105.6
