kyori,depth,wl0
6990.425817,-39.3,79.4
6990.425817,-38.3,83.8
6990.425817,-37.3,91.7
6990.425817,-36.3,91.3
6990.425817,-35.3,80.4
6990.425817,-34.3,73.3
6990.425817,-33.3,83.8
6990.425817,-32.3,83.9
6990.425817,-31.3,94.4
6990.425817,-30.3,93.8
6990.425817,-29.3,92.7
6990.425817,-28.3,98.3
6990.425817,-27.3,97.7
6990.425817,-26.3,99.1
6990.425817,-25.3,103.7
6990.425817,-24.3,98.4
6990.425817,-23.3,107.8
6990.425817,-22.3,99.8
6990.425817,-21.3,110.6
6990.425817,-20.3,102.4
6990.425817,-19.3,104.4
7253.408904,-40.4,75.7
7253.408904,-39.4,84
7253.408904,-38.4,85.5
7253.408904,-37.4,76.4
7253.408904,-36.4,78.3
7253.408904,-35.4,79
7253.408904,-34.4,76.9
7253.408904,-33.4,85.2
7253.408904,-32.4,86.6
7253.408904,-31.4,88.6
7253.408904,-30.4,92
7253.408904,-29.4,91.8
7253.408904,-28.4,96.7
7253.408904,-27.4,97.9
7253.408904,-26.4,102.8
7253.408904,-25.4,101.5
7253.408904,-24.4,102.9
7253.408904,-23.4,104
7253.408904,-22.4,107.4
7253.408904,-21.4,100.5
7253.408904,-20.4,104.1
7253.408904,-19.4,107
